Country,Date,Round,Challenge,Streetview,Coordinates,Region,Record Count
Indonesia,"Jun 5, 2021",5,Challenge,Street view,"-6.5940367357404668,106.2249496754755",Banten,1
Ukraine,"Jun 6, 2021",1,Challenge,Street view,"50.0885966,36.3122109",Kharkivs'ka oblast,1
Finland,"Jun 6, 2021",2,Challenge,Street view,"63.0592090469673,25.577453418759109",Keski-Suomi,1
Mongolia,"Jun 6, 2021",3,Challenge,Street view,"49.156980211237411,104.74839261557",Selenge,1
Uruguay,"Jun 6, 2021",4,Challenge,Street view,"-33.477497992855831,-55.149508019022292",Departamento de Lavalleja,1
Slovakia,"Jun 6, 2021",5,Challenge,Street view,"48.1463363,17.1070555",Bratislavský kraj,1
Portugal,"Jun 7, 2021",1,Challenge,Street view,"38.645448955341777,-8.7769365359028182",Setúbal,1
New Zealand,"Jun 7, 2021",2,Challenge,Street view,"-45.614883800839493,167.69852489931421",Southland Region,1
Czechia,"Jun 7, 2021",3,Challenge,Street view,"48.731942905875293,14.442991048599261",Jihočeský kraj,1
United Arab Emirates,"Jun 7, 2021",4,Challenge,Street view,"25.19721179020317,55.272623953583143",Dubai,1
Canada,"Jun 7, 2021",5,Challenge,Street view,"42.909308080561367,-79.346233595086289",Ontario,1
Egypt,"Jun 8, 2021",1,Challenge,Street view,"29.9766377358675,31.135884995653409",Giza Governorate,1
Indonesia,"Jun 8, 2021",2,Challenge,Street view,"-6.8057163161295051,111.97721437398749",Jawa Timur,1
Ukraine,"Jun 8, 2021",3,Challenge,Street view,"51.122981,35.0339612",Sums'ka oblast,1
United States,"Jun 8, 2021",4,Challenge,Street view,"37.767011645281237,-122.41434845695071",California,1
Mongolia,"Jun 8, 2021",5,Challenge,Street view,"49.025683680656329,104.0387566581753",Orkhon,1
Ecuador,"Jun 9, 2021",1,Challenge,Street view,"-0.96549613301440784,-91.013530932461137",Galápagos Province,1
Finland,"Jun 9, 2021",2,Challenge,Street view,"63.136973397592371,27.111488081842069",Pohjois-Savo,1
Lithuania,"Jun 9, 2021",3,Challenge,Street view,"55.708427724937508,21.133949261668349",Klaipėdos apskritis,1
Lithuania,"Jun 9, 2021",4,Challenge,Street view,"54.155315509664121,25.65420286513536",Vilniaus apskritis,1
United Arab Emirates,"Jun 9, 2021",5,Challenge,Street view,"25.19629681132761,55.275570678088492",Dubai,1
India,"Jun 10, 2021",1,Challenge,Street view,"26.456422137804228,74.62841628791773",Rajasthan,1
Switzerland,"Jun 10, 2021",2,Challenge,Street view,"47.758844792559152,8.65154577678766",Schaffhausen,1
Chile,"Jun 10, 2021",3,Challenge,Street view,"-41.907318251743789,-73.760896457813331",Los Lagos,1
Senegal,"Jun 10, 2021",4,Challenge,Street view,"13.7768462,-13.6591798",Tambacounda Region,1
Peru,"Jun 10, 2021",5,Challenge,Street view,"-12.12823678315895,-76.443220546481726",Gobierno Regional de Lima,1
Serbia,"Jun 11, 2021",1,Challenge,Street view,"43.896297525916353,22.2315976498084",Zaječarski okrug,1
New Zealand,"Jun 11, 2021",2,Challenge,Street view,"-46.589799669508473,168.3070113149771",Southland Region,1
Uruguay,"Jun 11, 2021",3,Challenge,Street view,"-31.7410204,-55.9822258",Departamento de Tacuarembó,1
Croatia,"Jun 11, 2021",4,Challenge,Street view,"44.550709930311839,15.96097152081018",Ličko-senjska županija,1
Argentina,"Jun 11, 2021",5,Challenge,Street view,"-30.73829326750657,-58.015150009573212",Entre Ríos,1
Peru,"Jun 12, 2021",1,Challenge,Street view,"-16.473917022725171,-71.948438487503054",Arequipa,1
Mongolia,"Jun 12, 2021",2,Challenge,Street view,"49.025683680656329,104.0387566581753",Orkhon,1
Taiwan,"Jun 12, 2021",3,Challenge,Street view,"24.681877304610321,121.3794463952409",Taoyuan City,1
Hungary,"Jun 12, 2021",4,Challenge,Street view,"46.9691169,21.5949295",Békés County,1
Philippines,"Jun 12, 2021",5,Challenge,Street view,"8.202386562386776,123.2483348226037",Zamboanga del Sur,1
Senegal,"Jun 13, 2021",1,Challenge,Street view,"16.2417095970098,-14.11539346388116",Saint-Louis Region,1
Türkiye,"Jun 13, 2021",2,Challenge,Street view,"38.963903069387868,37.893630634778809",Malatya,1
Brazil,"Jun 13, 2021",3,Challenge,Street view,"-16.4207033,-44.7287821",Minas Gerais,1
Slovakia,"Jun 13, 2021",4,Challenge,Street view,"49.2364370262325,21.278406572758261",Prešovský kraj,1
Mexico,"Jun 13, 2021",5,Challenge,Street view,"31.86177650542524,-112.88323234535591",Sonora,1
Norway,"Jun 14, 2021",1,Challenge,Street view,"60.887808709372408,5.2872740071217947",Vestland,1
United States,"Jun 14, 2021",2,Challenge,Street view,"38.8426288788962,-91.964973105474684",Missouri,1
Russia,"Jun 14, 2021",3,Challenge,Street view,"54.996408357108322,60.084074280583422",Chelyabinskaya oblast',1
Latvia,"Jun 14, 2021",4,Challenge,Street view,"56.880523845639352,23.96382883382158",Mārupes novads,1
Denmark,"Jun 14, 2021",5,Challenge,Street view,"56.404686,10.3588284",Central Denmark Region,1
Indonesia,"Jun 15, 2021",1,Challenge,Street view,"-7.3577464759497406,106.6218495620527",Jawa Barat,1
Ecuador,"Jun 15, 2021",2,Challenge,Street view,"-2.514707347772315,-79.578065122730635",Guayas,1
Slovakia,"Jun 15, 2021",3,Challenge,Street view,"48.512861452157154,19.91529180614728",Banskobystrický kraj,1
Mexico,"Jun 15, 2021",4,Challenge,Street view,"20.742375460742171,-102.5354194339841",Jalisco,1
Philippines,"Jun 15, 2021",5,Challenge,Street view,"14.43753898779657,120.8886532897213",Cavite,1
India,"Jun 16, 2021",1,Challenge,Street view,"15.392479918772111,73.8797055054259",Goa,1
Finland,"Jun 16, 2021",2,Challenge,Street view,"62.259659242431233,24.45137238788482",Keski-Suomi,1
Argentina,"Jun 16, 2021",3,Challenge,Street view,"-32.6376992396553,-69.975830377005309",Mendoza,1
Latvia,"Jun 16, 2021",4,Challenge,Street view,"57.868029596757673,24.3599688039909",Limbažu novads,1
Kenya,"Jun 16, 2021",5,Challenge,Street view,"0.1067977876303975,37.607912104618592",Eastern,1
Canada,"Jun 17, 2021",1,Challenge,Street view,"47.891440210882287,-55.8439844420237",Newfoundland and Labrador,1
Russia,"Jun 17, 2021",2,Challenge,Street view,"55.765176262911737,48.195541771069",Chuvashia,1
Australia,"Jun 17, 2021",3,Challenge,Street view,"-34.048232862630407,117.61414214593511",Western Australia,1
Isle of Man,"Jun 17, 2021",4,Challenge,Street view,"54.15250329324676,-4.5413965485095869",Braddan,1
Türkiye,"Jun 17, 2021",5,Challenge,Street view,"40.159240728072511,34.6334503133008",Çorum,1
Taiwan,"Jun 18, 2021",1,Challenge,Street view,"24.519696718818569,120.94011978941759",Miaoli County,1
France,"Jun 18, 2021",2,Challenge,Street view,"45.744596,-0.6263932",Nouvelle-Aquitaine,1
Mongolia,"Jun 18, 2021",3,Challenge,Street view,"47.919905914169313,106.9089586644827",Ulaanbaatar,1
Philippines,"Jun 18, 2021",4,Challenge,Street view,"14.589491580425429,120.97495430520109",Metropolitan Manila First District,1
Canada,"Jun 18, 2021",5,Challenge,Street view,"51.298762644601688,-106.0390070717901",Saskatchewan,1
New Zealand,"Jun 19, 2021",1,Challenge,Street view,"-39.064938489327993,174.02154713189191",Taranaki Region,1
United States,"Jun 19, 2021",2,Challenge,Street view,"37.812196718459887,-122.4192045555167",California,1
Argentina,"Jun 19, 2021",3,Challenge,Street view,"-33.432348973874838,-66.905053311034138",San Luis,1
Bulgaria,"Jun 19, 2021",4,Challenge,Street view,"42.021120481332879,23.100934250453971",Blagoevgrad,1
South Africa,"Jun 19, 2021",5,Challenge,Street view,"-30.76526540027039,30.344366620804522",KwaZulu-Natal,1
Taiwan,"Jun 20, 2021",1,Challenge,Street view,"23.553548878602381,119.5777178140018",Penghu County,1
Ukraine,"Jun 20, 2021",2,Challenge,Street view,"49.689835244193027,28.656292502612629",Vinnyts'ka oblast,1
Belgium,"Jun 20, 2021",3,Challenge,Street view,"50.823406991551067,4.3726646945449792",Bruxelles,1
Brazil,"Jun 20, 2021",4,Challenge,Street view,"-28.165063711740839,-48.979107577957294",Santa Catarina,1
Hungary,"Jun 20, 2021",5,Challenge,Street view,"47.335160825195729,17.481925767676511",Veszprém,1
United States,"Jun 21, 2021",1,Challenge,Street view,"40.704626342636843,-73.993405914977217",New York,1
France,"Jun 21, 2021",2,Challenge,Street view,"48.886138827765407,2.3429519599917752",Île-de-France,1
Spain,"Jun 21, 2021",3,Challenge,Street view,"43.397938338422613,-4.5349217474525858",Asturias,1
Bangladesh,"Jun 21, 2021",4,Challenge,Street view,"24.72532695670477,90.4280458914784",Mymensingh Division,1
Japan,"Jun 21, 2021",5,Challenge,Street view,"43.11313035844573,144.12138783562929",Hokkaido,1
Senegal,"Jun 22, 2021",1,Challenge,Street view,"14.4353002391165,-16.866330331029911",Thiès Region,1
Mexico,"Jun 22, 2021",2,Challenge,Street view,"20.219686895837651,-89.3064563705007",Yucatán,1
India,"Jun 22, 2021",3,Challenge,Street view,"15.392479918772111,73.8797055054259",Goa,1
United States,"Jun 22, 2021",4,Challenge,Street view,"40.697535497923582,-74.050241087653745",New Jersey,1
Estonia,"Jun 22, 2021",5,Challenge,Street view,"58.1808661,22.1949391",Saare maakond,1
Australia,"Jun 23, 2021",1,Challenge,Street view,"-31.55039577688094,147.1727618126792",New South Wales,1
Peru,"Jun 23, 2021",2,Challenge,Street view,"-13.407383877905,-75.38256855199117",Huancavelica,1
New Zealand,"Jun 23, 2021",3,Challenge,Street view,"-46.579605089806442,168.3049265219592",Southland Region,1
Switzerland,"Jun 23, 2021",4,Challenge,Street view,"47.267863058959954,8.8322704598717738",Zürich,1
Malaysia,"Jun 23, 2021",5,Challenge,Street view,"3.4951088511128829,103.3896299164289",Pahang,1
Bangladesh,"Jun 24, 2021",1,Challenge,Street view,"23.22668959956783,90.019874648733008",Dhaka Division,1
Mexico,"Jun 24, 2021",2,Challenge,Street view,"18.227200387581579,-103.12762678111621",Michoacán,1
Chile,"Jun 24, 2021",3,Challenge,Street view,"-38.7669948,-72.8494387",Araucania,1
Hungary,"Jun 24, 2021",4,Challenge,Street view,"47.517295148138793,19.158804346495081",Budapest,1
Colombia,"Jun 24, 2021",5,Challenge,Street view,"4.2651054,-74.5523238",Tolima,1
Croatia,"Jun 25, 2021",1,Challenge,Street view,"44.1905834,15.8867092",Zadarska županija,1
Bulgaria,"Jun 25, 2021",2,Challenge,Street view,"43.2012046082038,27.910799071614111",Varna,1
Mongolia,"Jun 25, 2021",3,Challenge,Street view,"48.010803144324278,91.642411613679371",Khovd,1
Canada,"Jun 25, 2021",4,Challenge,Street view,"50.540790743738583,-100.51259275447291",Manitoba,1
Iceland,"Jun 25, 2021",5,Challenge,Street view,"64.361640029377,-21.81378884811993",Hvalfjarðarsveit,1
Germany,"Jun 26, 2021",1,Challenge,Street view,"52.428298266862967,13.712738418046831",Berlin,1
Taiwan,"Jun 26, 2021",2,Challenge,Street view,"23.2917572,121.2835359",Hualien County,1
Argentina,"Jun 26, 2021",3,Challenge,Street view,"-39.315029957971973,-62.60918809834795",Provincia de Buenos Aires,1
Argentina,"Jun 26, 2021",4,Challenge,Street view,"-35.66502249972725,-59.742633474794758",Provincia de Buenos Aires,1
Isle of Man,"Jun 26, 2021",5,Challenge,Street view,"54.148619685432983,-4.5081138143579613",Douglas,1
Japan,"Jun 27, 2021",1,Challenge,Street view,"34.759715644091173,133.32182490848129",Hiroshima,1
Mexico,"Jun 27, 2021",2,Challenge,Street view,"18.44666771063579,-96.36102818627397",Veracruz,1
Peru,"Jun 27, 2021",3,Challenge,Street view,"-11.7019895,-75.759624",Junín,1
Sweden,"Jun 27, 2021",4,Challenge,Street view,"63.720460990223572,18.4986184234401",Västernorrlands län,1
Bolivia,"Jun 27, 2021",5,Challenge,Street view,"-18.418702,-66.5839988",Departamento de Potosi,1
Malaysia,"Jun 28, 2021",1,Challenge,Street view,"3.6172948044833628,103.37589914346211",Pahang,1
Poland,"Jun 28, 2021",2,Challenge,Street view,"52.144491424301243,19.824618502920831",Województwo łódzkie,1
Mexico,"Jun 28, 2021",3,Challenge,Street view,"22.683788740942411,-98.326682652980637",Tamaulipas,1
Ukraine,"Jun 28, 2021",4,Challenge,Street view,"51.60093268642354,26.565106295490668",Rivnens'ka oblast,1
Ireland,"Jun 28, 2021",5,Challenge,Street view,"52.41818896043317,-7.2439241581611276",County Kilkenny,1
Czechia,"Jun 29, 2021",1,Challenge,Street view,"49.2190247,13.8877102",Jihočeský kraj,1
Ecuador,"Jun 29, 2021",2,Challenge,Street view,"-2.0083128155953229,-79.6149223163485",Guayas,1
Colombia,"Jun 29, 2021",3,Challenge,Street view,"6.952041305783581,-73.772175195417788",Santander,1
Taiwan,"Jun 29, 2021",4,Challenge,Street view,"24.352161725378831,121.3098278794251",Taichung City,1
South Africa,"Jun 29, 2021",5,Challenge,Street view,"-30.789146467009,28.54535273306956",Eastern Cape,1
Lithuania,"Jun 30, 2021",1,Challenge,Street view,"55.6946191897751,25.323617886246389",Utenos apskritis,1
Peru,"Jun 30, 2021",2,Challenge,Street view,"-7.15709325811242,-79.440505028491089",La Libertad,1
Mongolia,"Jun 30, 2021",3,Challenge,Street view,"47.919065479547278,106.917015252195",Ulaanbaatar,1
Belgium,"Jun 30, 2021",4,Challenge,Street view,"51.048291,3.7186922",Vlaanderen,1
Belgium,"Jun 30, 2021",5,Challenge,Street view,"51.048291,3.7186922",Vlaanderen,1
Kenya,"Jul 1, 2021",1,Challenge,Street view,"0.018831473574719409,37.083235408017792",Laikipia County,1
Bolivia,"Jul 1, 2021",2,Challenge,Street view,"-20.8124853163467,-63.345703846952958",Departamento de Chuquisaca,1
Iceland,"Jul 1, 2021",3,Challenge,Street view,"66.069735595417825,-23.125534079861868",Ísafjarðarbær,1
Israel,"Jul 1, 2021",4,Challenge,Street view,"33.047987848602823,35.101189668520533",North District,1
Slovenia,"Jul 1, 2021",5,Challenge,Street view,"46.080942702529171,14.524306098637741",Ljubljana,1
Türkiye,"Jul 2, 2021",1,Challenge,Street view,"39.923441192164248,33.235428706966523",Ankara,1
Chile,"Jul 2, 2021",2,Challenge,Street view,"-34.652934068318977,-70.942462760986913",O'Higgins,1
Lithuania,"Jul 2, 2021",3,Challenge,Street view,"54.533892775384729,25.29584775919313",Vilniaus apskritis,1
Malaysia,"Jul 2, 2021",4,Challenge,Street view,"3.4951088511128829,103.3896299164289",Pahang,1
Israel,"Jul 2, 2021",5,Challenge,Street view,"33.092370136892562,35.105462493784273",North District,1
Bolivia,"Jul 3, 2021",1,Challenge,Street view,"-16.396368,-68.1740569",Departamento de La Paz,1
Türkiye,"Jul 3, 2021",2,Challenge,Street view,"38.257452467887568,36.915820765942009",Kahramanmaraş,1
Mexico,"Jul 3, 2021",3,Challenge,Street view,"25.360271350965249,-97.876629233766025",Tamaulipas,1
Botswana,"Jul 3, 2021",4,Challenge,Street view,"-24.700189244797411,23.50664688154875",Southern District,1
Ireland,"Jul 3, 2021",5,Challenge,Street view,"52.944548456346944,-9.1445963719922716",County Clare,1
Bolivia,"Jul 4, 2021",1,Challenge,Street view,"-16.396368,-68.1740569",Departamento de La Paz,1
Hungary,"Jul 4, 2021",2,Challenge,Street view,"46.843321228188941,17.116639312934112",Zala County,1
Italy,"Jul 4, 2021",3,Challenge,Street view,"46.2738765,11.1900077",Trentino-Alto Adige,1
Argentina,"Jul 4, 2021",4,Challenge,Street view,"-34.861210636185668,-67.8135032512767",Mendoza,1
Indonesia,"Jul 4, 2021",5,Challenge,Street view,"-6.1361086464769192,106.299361521404",Banten,1
Colombia,"Jul 5, 2021",1,Challenge,Street view,"9.7497100776218986,-74.859080581771",Bolívar,1
Chile,"Jul 5, 2021",2,Challenge,Street view,"-32.505485481469918,-71.44649751558282",Valparaíso,1
United States,"Jul 5, 2021",3,Challenge,Street view,"33.645429213443357,-84.443325130154221",Georgia,1
Kenya,"Jul 5, 2021",4,Challenge,Street view,"2.3323389669487922,37.990054269097307",Marsabit County,1
Türkiye,"Jul 5, 2021",5,Challenge,Street view,"38.608530080646773,27.362483357167459",Manisa,1
Brazil,"Jul 6, 2021",1,Challenge,Street view,"-31.86849175776409,-54.165200207454369",Rio Grande do Sul,1
Germany,"Jul 6, 2021",2,Challenge,Street view,"51.515765013109487,7.4649678023570711",Nordrhein-Westfalen,1
Belgium,"Jul 6, 2021",3,Challenge,Street view,"50.8443105,4.350847",Bruxelles,1
Denmark,"Jul 6, 2021",4,Challenge,Street view,"57.588083532906047,10.269063082649449",North Denmark Region,1
Australia,"Jul 6, 2021",5,Challenge,Street view,"-20.2645806,148.716137",Queensland,1
Colombia,"Jul 7, 2021",1,Challenge,Street view,"10.605030725484429,-72.982249042791736",La Guajira,1
France,"Jul 7, 2021",2,Challenge,Street view,"48.8940241996871,2.351471122836561",Île-de-France,1
France,"Jul 7, 2021",3,Challenge,Street view,"48.831915931397582,2.299825427219901",Île-de-France,1
Italy,"Jul 7, 2021",4,Challenge,Street view,"40.791702104180388,8.35680254049431",Sardegna,1
Ukraine,"Jul 7, 2021",5,Challenge,Street view,"48.894300185165967,36.315862001359321",Kharkivs'ka oblast,1
Türkiye,"Jul 8, 2021",1,Challenge,Street view,"36.328745374964512,29.332585226476279",Antalya,1
Indonesia,"Jul 8, 2021",2,Challenge,Street view,"-6.869247524505246,109.1282779728529",Jawa Tengah,1
Albania,"Jul 8, 2021",3,Challenge,Street view,"40.701443398560563,19.961584676141769",Qarku i Beratit,1
Indonesia,"Jul 8, 2021",4,Challenge,Street view,"-7.9263509,112.966708",Jawa Timur,1
Mexico,"Jul 8, 2021",5,Challenge,Street view,"25.898881418454451,-98.761275991509",Nuevo León,1
Lithuania,"Jul 9, 2021",1,Challenge,Street view,"56.157000045215177,23.6438439487085",Šiaulių apskritis,1
Ukraine,"Jul 9, 2021",2,Challenge,Street view,"50.067776388446688,36.202696970155692",Kharkivs'ka oblast,1
Denmark,"Jul 9, 2021",3,Challenge,Street view,"55.070281544705189,14.91901251276987",Capital Region of Denmark,1
India,"Jul 9, 2021",4,Challenge,Street view,"26.28076660800129,73.046526749197483",Rajasthan,1
United States,"Jul 9, 2021",5,Challenge,Street view,"37.82844113835926,-122.47952770140949",California,1
Russia,"Jul 10, 2021",1,Challenge,Street view,"58.924225021676889,28.352356600539089",Leningradskaya oblast',1
Czechia,"Jul 10, 2021",2,Challenge,Street view,"49.213232079744273,16.59363160745583",Jihomoravský kraj,1
New Zealand,"Jul 10, 2021",3,Challenge,Street view,"-41.28225018442641,174.71560101128361",Wellington Region,1
Brazil,"Jul 10, 2021",4,Challenge,Street view,"-15.79448313522408,-39.257814945031413",Bahia,1
Philippines,"Jul 10, 2021",5,Challenge,Street view,"9.951269119262296,123.9623555728906",Bohol,1
Belgium,"Jul 11, 2021",1,Challenge,Street view,"51.220549869624392,4.39985732402554",Vlaanderen,1
Mongolia,"Jul 11, 2021",2,Challenge,Street view,"47.919290066772668,106.9175455049273",Ulaanbaatar,1
New Zealand,"Jul 11, 2021",3,Challenge,Street view,"-43.215244690932813,170.3763929956435",West Coast Region,1
Israel,"Jul 11, 2021",4,Challenge,Street view,"32.106164250838908,34.813327671839367",Tel Aviv District,1
Mexico,"Jul 11, 2021",5,Challenge,Street view,"21.976872008932759,-101.29223640975781",San Luis Potosí,1
Colombia,"Jul 12, 2021",1,Challenge,Street view,"6.1519519226058517,-75.655668412328978",Antioquia,1
Israel,"Jul 12, 2021",2,Challenge,Street view,"32.5117708,34.8970381",Haifa District,1
Slovenia,"Jul 12, 2021",3,Challenge,Street view,"45.5463484534003,13.730520893942041",Koper,1
Netherlands,"Jul 12, 2021",4,Challenge,Street view,"52.518897821937337,5.4398307241834507",Flevoland,1
New Zealand,"Jul 12, 2021",5,Challenge,Street view,"-45.873975070228973,170.50415837913019",Otago Region,1
Ecuador,"Jul 13, 2021",1,Challenge,Street view,"-2.508800898817805,-79.498083264798709",Cañar,1
Greenland,"Jul 13, 2021",2,Challenge,Street view,"69.227144163029521,-51.0951336497379",Avannaata,1
Türkiye,"Jul 13, 2021",3,Challenge,Street view,"37.749343570431279,29.09070621181711",Denizli,1
Malaysia,"Jul 13, 2021",4,Challenge,Street view,"5.4686128,100.2778138",Pulau Pinang,1
Finland,"Jul 13, 2021",5,Challenge,Street view,"61.9875811761143,28.93552508764995",Etelä-Savo,1
Lithuania,"Jul 14, 2021",1,Challenge,Street view,"55.781555186141929,25.761689298109228",Utenos apskritis,1
New Zealand,"Jul 14, 2021",2,Challenge,Street view,"-44.699986750817033,170.80982563964241",Canterbury Region,1
Latvia,"Jul 14, 2021",3,Challenge,Street view,"56.566997444339549,21.008884463999269",City of Liepāja,1
Sweden,"Jul 14, 2021",4,Challenge,Street view,"56.1387099,13.3938115",Skåne län,1
Bolivia,"Jul 14, 2021",5,Challenge,Street view,"-16.59864991982808,-68.897349190628887",Departamento de La Paz,1
Estonia,"Jul 15, 2021",1,Challenge,Street view,"59.118212455790257,24.31265018053557",Harju maakond,1
Uruguay,"Jul 15, 2021",2,Challenge,Street view,"-33.477497992855831,-55.149508019022292",Departamento de Lavalleja,1
Brazil,"Jul 15, 2021",3,Challenge,Street view,"-27.58857702548022,-50.363975489966172",Santa Catarina,1
Thailand,"Jul 15, 2021",4,Challenge,Street view,"17.1932592,98.3276712",Chang Wat Tak,1
United Arab Emirates,"Jul 15, 2021",5,Challenge,Street view,"25.148743076168611,55.881564448284188",Sharjah,1
Bolivia,"Jul 16, 2021",1,Challenge,Street view,"-16.203530049814869,-68.83279854085815",Departamento de La Paz,1
United Arab Emirates,"Jul 16, 2021",2,Challenge,Street view,"24.17505961705622,55.739032721765447",Abu Dhabi,1
Sweden,"Jul 16, 2021",3,Challenge,Street view,"60.100415706055948,16.542706250904921",Västmanlands län,1
Slovakia,"Jul 16, 2021",4,Challenge,Street view,"49.399940827294436,20.341197876931751",Prešovský kraj,1
Argentina,"Jul 16, 2021",5,Challenge,Street view,"-28.236554728888549,-65.637079484847973",Catamarca,1
Croatia,"Jul 17, 2021",1,Challenge,Street view,"44.047216495264692,15.31081186120962",Zadarska županija,1
Israel,"Jul 17, 2021",2,Challenge,Street view,"30.801527246514439,35.246023776871361",South District,1
Norway,"Jul 17, 2021",3,Challenge,Street view,"58.810528474679629,6.7660831484205843",Agder,1
Thailand,"Jul 17, 2021",4,Challenge,Street view,"14.892757796770351,102.4203855035211",Nakhon Ratchasima,1
Ecuador,"Jul 17, 2021",5,Challenge,Street view,"-2.2010056597306051,-80.9773162142263",Santa Elena,1
United Arab Emirates,"Jul 18, 2021",1,Challenge,Street view,"25.319511776145109,55.50777826567527",Sharjah,1
Argentina,"Jul 18, 2021",2,Challenge,Street view,"-38.062331579151532,-60.164380519408972",Provincia de Buenos Aires,1
Iceland,"Jul 18, 2021",3,Challenge,Street view,"63.939744714998689,-21.005290379383862",Sveitarfélagið Árborg,1
Ukraine,"Jul 18, 2021",4,Challenge,Street view,"48.056414865837652,34.929365251561137",Zaporiz'ka oblast,1
Lithuania,"Jul 18, 2021",5,Challenge,Street view,"54.15197734318653,25.614064236554771",Vilniaus apskritis,1
Romania,"Jul 19, 2021",1,Challenge,Street view,"46.0886332,22.0250504",Județul Arad,1
United States,"Jul 19, 2021",2,Challenge,Street view,"31.47419364151385,-106.1542356046631",Texas,1
India,"Jul 19, 2021",3,Challenge,Street view,"32.80494595666201,75.318610349535732",Jammu and Kashmir,1
Colombia,"Jul 19, 2021",4,Challenge,Street view,"4.83251218704296,-75.573600065300511",Risaralda,1
Isle of Man,"Jul 19, 2021",5,Challenge,Street view,"54.325646726643,-4.4013929795687838",Ramsey,1
Belgium,"Jul 20, 2021",1,Challenge,Street view,"50.499766944805472,3.5153368550119559",Région wallonne,1
Bolivia,"Jul 20, 2021",2,Challenge,Street view,"-16.77293040770429,-68.182158910549617",Departamento de La Paz,1
Belgium,"Jul 20, 2021",3,Challenge,Street view,"50.408446263683871,4.4438469453645588",Région wallonne,1
India,"Jul 20, 2021",4,Challenge,Street view,"25.431549217069811,81.771515412061888",Uttar Pradesh,1
Slovenia,"Jul 20, 2021",5,Challenge,Street view,"46.080942702529171,14.524306098637741",Ljubljana,1
Peru,"Jul 21, 2021",1,Challenge,Street view,"-7.527011992241051,-78.147924541284212",Cajamarca,1
Sweden,"Jul 21, 2021",2,Challenge,Street view,"59.891065272771272,12.30621438526302",Värmlands län,1
Türkiye,"Jul 21, 2021",3,Challenge,Street view,"37.686037671506988,38.04396662194501",Adıyaman,1
Sweden,"Jul 21, 2021",4,Challenge,Street view,"57.458954608587362,12.174032597322441",Hallands län,1
Australia,"Jul 21, 2021",5,Challenge,Street view,"-35.196346769444077,150.4412034563353",New South Wales,1
Croatia,"Jul 22, 2021",1,Challenge,Street view,"45.084167312595682,14.44267635369072",Primorsko-goranska županija,1
Russia,"Jul 22, 2021",2,Challenge,Street view,"59.93975435266,30.31530950910787",Sankt-Peterburg,1
United Arab Emirates,"Jul 22, 2021",3,Challenge,Street view,"25.5254969,55.5571451",Emirate of Umm Al Quwain,1
Mexico,"Jul 22, 2021",4,Challenge,Street view,"21.1610664,-86.8255459",Quintana Roo,1
