Country,Date,Round,Coordinates,Region
Brazil,2021-11-16,3,"0.95391816857127765,-59.912723206353412",Roraima
Canada,2021-11-16,4,"46.832626115020112,-65.784223384499285","New Brunswick"
"Isle of Man",2021-11-16,5,"54.3096124,-4.4113847",Lezayre
Latvia,2021-11-17,1,"57.3043477275052,23.148167253539921","Tukuma novads"
Uruguay,2021-11-17,2,"-34.798862039921538,-56.347645566256183","Departamento de Montevideo"
Albania,2021-11-17,3,"40.300484806518909,20.002166706539871","Gjirokastër County"
"United Arab Emirates",2021-11-17,4,"25.19690878126665,55.276314903352841",Dubai
Brazil,2021-11-17,5,"-20.291902900158931,-47.849685899878082","São Paulo"
Thailand,2021-11-18,1,"12.73399060557194,102.09665623690751","Chang Wat Chanthaburi"
Norway,2021-11-18,2,"59.569082200489973,10.18120031753781",Vestfold
"United States",2021-11-18,3,"40.643324760188037,-73.83538307596784","New York"
Bolivia,2021-11-18,4,"-19.604155284772052,-65.4034874533599","Departamento de Potosí"
Indonesia,2021-11-18,5,"-6.5315711872076472,106.4078902332102",Banten
Spain,2021-11-19,1,"42.584051262255549,-5.5961570952065287","Castilla y León"
Ukraine,2021-11-19,2,"49.8374149,26.4207483","Khmel'nyts'ka oblast"
Iceland,2021-11-19,3,"64.139318702972986,-21.897194925940969",Reykjavíkurborg
"United States",2021-11-19,4,"46.904755893196707,-108.7381098107799",Montana
Iceland,2021-11-19,5,"64.139318702972986,-21.897194925940969",Reykjavíkurborg
Mongolia,2021-11-20,1,"46.895485395774593,102.768339346973",Ovorkhangai
Egypt,2021-11-20,2,"30.02877578768085,31.25921772564746","Cairo Governorate"
Sweden,2021-11-20,3,"60.504646954823542,14.952055429939","Dalarnas län"
Senegal,2021-11-20,4,"13.7768462,-13.6591798","Tambacounda Region"
Chile,2021-11-20,5,"-43.23554685143511,-71.926391276205564","Los Lagos"
Denmark,2021-11-21,1,"56.193426561213272,8.7139844314002541","Central Denmark Region"
Austria,2021-11-21,2,"47.0249462,15.4010638",Steiermark
Ukraine,2021-11-21,3,"50.2447754199836,32.9877288318497","Poltavs'ka oblast"
Canada,2021-11-21,4,"46.919104890429978,-65.224695093454869","New Brunswick"
Denmark,2021-11-21,5,"56.039472338771439,12.619707354048961","Capital Region of Denmark"
India,2021-11-22,1,"15.439038496966971,74.2525039923215",Goa
Argentina,2021-11-22,2,"-38.488187827867108,-59.834706292165841","Provincia de Buenos Aires"
Argentina,2021-11-22,3,"-30.92801487640919,-64.500103774138807",Córdoba
Hungary,2021-11-22,4,"46.171138536164989,18.947459357724622",Bács-Kiskun
Slovenia,2021-11-22,5,"45.91222239515406,14.157311225636571",Logatec
"South Korea",2021-11-23,1,"36.034554018165842,128.270916356841",Gyeongsangbuk-do
France,2021-11-23,2,"45.00689936545421,-1.10460238512958",Nouvelle-Aquitaine
Poland,2021-11-23,3,"50.930008642981051,18.859536157055452","Województwo śląskie"
Mexico,2021-11-23,4,"16.086565432434291,-93.767021090349147",Chiapas
"United Arab Emirates",2021-11-23,5,"25.4096861,55.4465848",Ajman
Albania,2021-11-24,1,"41.205107228011137,19.534651494434559","Tirana County"
Kenya,2021-11-24,2,"-1.1663059793648991,34.444980658558222","Migori County"
Philippines,2021-11-24,3,"6.4763222028594427,125.32097762197419",Sarangani
Austria,2021-11-24,4,"48.2075454,16.3731702",Wien
Mexico,2021-11-24,5,"25.278851557107149,-100.7897239475503","Coahuila de Zaragoza"
Norway,2021-11-25,1,"61.3545839,7.7535443",Vestland
Uruguay,2021-11-25,2,"-34.483496805930528,-55.633707399644017","Departamento de Canelones"
Malaysia,2021-11-25,3,"6.6569764661996382,100.32042577912181",Perlis
Iceland,2021-11-25,4,"64.319505838550583,-22.076139915611009",Akraneskaupstaður
Uruguay,2021-11-25,5,"-34.483496805930528,-55.633707399644017","Departamento de Canelones"
"United Arab Emirates",2021-11-26,1,"25.19533416164083,55.272789486932723",Dubai
Finland,2021-11-26,2,"62.528701455824383,26.43074234628293",Keski-Suomi
Chile,2021-11-26,3,"-32.2134806,-71.1481778",Valparaíso
Norway,2021-11-26,4,"66.557901520563149,15.32917828832904",Nordland
Philippines,2021-11-26,5,"13.41492152323201,121.180986272835","Oriental Mindoro"
Italy,2021-11-27,1,"43.7228868,10.398516",Toscana
Germany,2021-11-27,2,"52.516653937827463,13.381436960429561",Berlin
Argentina,2021-11-27,3,"-28.19061399843303,-59.266695852664142","Santa Fe"
Kenya,2021-11-27,4,"0.5127208122875575,35.576781987666237","Elgeyo-Marakwet County"
Israel,2021-11-27,5,"32.0557118,34.7564858","Tel Aviv District"
"New Zealand",2021-11-28,1,"-42.29951212169771,171.61174298138289","West Coast Region"
Slovenia,2021-11-28,2,"45.940570276937642,14.33579839520343",Vrhnika
Colombia,2021-11-28,3,"3.86349178797579,-73.540594746094911",Meta
"New Zealand",2021-11-28,4,"-46.8976352,168.1225773","Southland Region"
Thailand,2021-11-28,5,"17.85580164243953,103.3801722205317","Chang Wat Udon Thani"
Argentina,2021-11-29,1,"-29.426094904817571,-65.355063577721282",Catamarca
Egypt,2021-11-29,2,"29.87539552397871,31.22320448107223","Giza Governorate"
Greenland,2021-11-29,3,"70.6786447,-52.1471529",Avannaata
Russia,2021-11-29,4,"48.232395554201062,45.9043548981363","Astrakhanskaya oblast'"
Netherlands,2021-11-29,5,"51.999251508255092,6.5828040372447081",Gelderland
Canada,2021-11-30,1,"49.130426273761493,-116.6351733663635","British Columbia"
Mongolia,2021-11-30,2,"49.156980211237411,104.74839261557",Selenge
Peru,2021-11-30,3,"-6.6904002903279913,-79.447757850082709",Lambayeque
Netherlands,2021-11-30,4,"52.3823185,4.6472326",Noord-Holland
"New Zealand",2021-11-30,5,"-44.134890962451038,170.34847877330481","Canterbury Region"
Canada,2021-12-01,1,"49.214264680262069,-122.9710564148882","British Columbia"
Greece,2021-12-01,2,"37.5166316,22.471844","Peloponnese Region"
Japan,2021-12-01,3,"34.81795057380797,135.4267055920042",Osaka
Germany,2021-12-01,4,"50.055863446700577,8.5871592767005875",Hessen
Thailand,2021-12-01,5,"6.519114509094118,100.4191637649345",Songkhla
Austria,2021-12-02,1,"47.229933315076451,12.050395177344379",Tirol
Greece,2021-12-02,2,"35.556325470303513,24.088307025295681",Crete
Bangladesh,2021-12-02,3,"24.1492255825383,91.347165497574025","Sylhet Division"
Argentina,2021-12-02,4,"-33.56466215090559,-60.756554748073142","Santa Fe"
Ecuador,2021-12-02,5,"-0.13255970926388591,-78.4978207404803",Pichincha
India,2021-12-03,1,"20.005612698947651,73.68685294073299",Maharashtra
Slovakia,2021-12-03,2,"48.719873859177852,21.255895368995571","Košický kraj"
Slovenia,2021-12-03,3,"46.0576894,14.5060517",Ljubljana
Argentina,2021-12-03,4,"-35.852949011434632,-57.906667376904757","Provincia de Buenos Aires"
Argentina,2021-12-03,5,"-34.520979726269658,-60.47064997226839","Provincia de Buenos Aires"
Bolivia,2021-12-04,1,"-16.59904256860279,-68.834136353457779","Departamento de La Paz"
India,2021-12-04,2,"24.88723069403958,74.644312673596886",Rajasthan
Canada,2021-12-04,3,"47.005692615457427,-53.643082677852519","Newfoundland and Labrador"
"United Kingdom",2021-12-04,4,"57.2801616,-5.7138289","Highland Council"
Canada,2021-12-04,5,"46.478464606315782,-64.911151279580324","New Brunswick"
Peru,2021-12-05,1,"-17.1218189,-71.7993741",Arequipa
"South Africa",2021-12-05,2,"-27.26560012005913,23.967704263312861","North West"
Russia,2021-12-05,3,"58.243675901917257,30.778627058522581","Novgorodskaya oblast'"
Indonesia,2021-12-05,4,"-7.674265677157134,108.8002843424396","West Java"
"United Kingdom",2021-12-05,5,"51.49157054424488,-0.13882875171980141","Greater London"
Russia,2021-12-06,1,"55.497028528428977,60.250653281924563","Chelyabinskaya oblast'"
Serbia,2021-12-06,2,"43.582146285639588,20.228999840069431","Moravički okrug"
Peru,2021-12-06,3,"-7.5194517705573451,-78.142994536418485",Cajamarca
Argentina,2021-12-06,4,"-32.3322842,-64.2914179",Córdoba
"South Africa",2021-12-06,5,"-33.300856761039107,20.077531508932768","Western Cape"
Russia,2021-12-07,1,"44.2315841,40.0961696","Adygea Republic"
France,2021-12-07,2,"43.591324679807776,7.0051922969036369","Provence-Alpes-Côte d'Azur"
Belgium,2021-12-07,3,"50.63936811907854,5.5917825341260263","Région wallonne"
"United States",2021-12-07,4,"47.92823648985366,-91.761290932711375",Minnesota
Estonia,2021-12-07,5,"59.054533810329033,24.007717206385081","Lääne maakond"
"New Zealand",2021-12-08,1,"-44.16746259154975,170.85544000397081","Canterbury Region"
Greenland,2021-12-08,2,"69.2275198652219,-51.093527879957293",Avannaata
Greenland,2021-12-08,3,"70.6789748517061,-52.144946497928473",Avannaata
Belgium,2021-12-08,4,"50.857847305543913,4.1170621735218624",Vlaanderen
Peru,2021-12-08,5,"-13.930041051985491,-75.948531605887624",Ica
Taiwan,2021-12-09,1,"24.41527809711511,118.3468125252397",Taiwan
Germany,2021-12-09,2,"51.515765013109487,7.4649678023570711",Nordrhein-Westfalen
Germany,2021-12-09,3,"53.080453667920857,8.7805993064889",Bremen
Cambodia,2021-12-09,4,"12.255629830135559,105.6888508287564","Tbong Khmum Province"
"United States",2021-12-09,5,"34.387606912152087,-99.024304604322339",Oklahoma
Sweden,2021-12-10,1,"56.059855205883423,12.975272072099679","Skåne län"
Philippines,2021-12-10,2,"16.356742098223229,119.8557075595118",Pangasinan
Colombia,2021-12-10,3,"7.9925632681065917,-75.199833443746556",Antioquia
Russia,2021-12-10,4,"57.715442443963752,63.0427265645727","Sverdlovskaya oblast'"
Israel,2021-12-10,5,"33.2100328,35.6072081","North District"
Ecuador,2021-12-11,1,"-1.499799850663653,-79.9391233367806",Guayas
Egypt,2021-12-11,2,"29.9766377358675,31.135884995653409","Giza Governorate"
Mongolia,2021-12-11,3,"47.918356691260861,106.8831959003809",Ulaanbaatar
Chile,2021-12-11,4,"-31.7815364,-70.9579641",Coquimbo
Bangladesh,2021-12-11,5,"24.0552161,90.9831518","Dhaka Division"
Uruguay,2021-12-12,1,"-34.872105930273307,-56.203015663413517","Departamento de Montevideo"
Serbia,2021-12-12,2,"43.94660000968927,21.38064364536902","Pomoravski okrug"
Uruguay,2021-12-12,3,"-34.86287021048,-56.2013323904328","Departamento de Montevideo"
Austria,2021-12-12,4,"47.229933315076451,12.050395177344379",Tirol
Russia,2021-12-12,5,"57.681677112534608,59.365092582374288","Sverdlovskaya oblast'"
"South Africa",2021-12-13,1,"-29.288862213594719,21.159900819723351","Northern Cape"
Latvia,2021-12-13,2,"56.746586394822558,24.727611271627541","Ogres novads"
Poland,2021-12-13,3,"52.014451335668568,15.14047723446317","Województwo lubuskie"
Brazil,2021-12-13,4,"-18.069040124621349,-41.296491238965352","Minas Gerais"
Philippines,2021-12-13,5,"14.5979087,120.9894927","Metropolitan Manila First District"
Türkiye,2021-12-14,1,"38.086576553930321,31.372487400123529",Isparta
Bangladesh,2021-12-14,2,"22.673341149537251,89.743013458155957","Khulna Division"
Colombia,2021-12-14,3,"5.1932929778625674,-76.000459168277274",Risaralda
Colombia,2021-12-14,4,"1.7593402925689909,-75.765541157671947",Caquetá
Portugal,2021-12-14,5,"41.3029334,-7.7407367","Vila Real"
Greece,2021-12-15,1,"40.6901969426046,24.62049173321202","East Macedonia and Thrace"
Japan,2021-12-15,2,"37.1634801,138.1434689",Niigata
Philippines,2021-12-15,3,"14.5979087,120.9894927","Metropolitan Manila First District"
Canada,2021-12-15,4,"50.1072101,-125.0515715","British Columbia"
Greece,2021-12-15,5,"40.6901969426046,24.62049173321202","East Macedonia and Thrace"
Bolivia,2021-12-16,1,"-17.746064224431372,-63.159099314918983","Departamento de Santa Cruz"
"United States",2021-12-16,2,"40.801994274281348,-73.96937722889588","New York"
Bangladesh,2021-12-16,3,"23.756612080525048,89.455498768292614","Dhaka Division"
Canada,2021-12-16,4,"44.023024109093747,-77.908015951587075",Ontario
Serbia,2021-12-16,5,"43.958545517019822,21.346402713684181","Pomoravski okrug"
Senegal,2021-12-17,1,"14.4353002391165,-16.866330331029911","Thiès Region"
Canada,2021-12-17,2,"47.511354740984842,-70.5109369079492",Québec
Greece,2021-12-17,3,"39.465355415906018,21.3148271108123",Thessalia
Austria,2021-12-17,4,"47.265956452841358,11.408390225978071",Tirol
Russia,2021-12-17,5,"51.374394414542152,42.493834223166068","Voronezhskaya oblast'"
Lithuania,2021-12-18,1,"55.937015735212462,23.307397804332421","Šiaulių apskritis"
India,2021-12-18,2,"30.220436947419749,75.699582466563527",Punjab
Norway,2021-12-18,3,"65.9956269,12.9322974",Nordland
Chile,2021-12-18,4,"-22.44814629323632,-68.897969286947628",Antofagasta
Ecuador,2021-12-18,5,"-3.2563607398821519,-79.9589860492306","El Oro"
Austria,2021-12-19,1,"47.816265508866309,12.9977339195161",Salzburg
Canada,2021-12-19,2,"49.887331332140192,-119.483508174159","British Columbia"
Sweden,2021-12-19,3,"63.696035088981994,16.877507462396121","Västernorrlands län"
Australia,2021-12-19,4,"-35.7558848,137.8954511","South Australia"
Spain,2021-12-19,5,"42.903122229893228,-1.201624197694068",Navarra
France,2021-12-20,1,"49.396517721989973,-0.968406695612007",Normandy
Russia,2021-12-20,2,"52.088701341638632,35.859679883764137","Kurskaya oblast'"
Argentina,2021-12-20,3,"-36.692784294055329,-64.405089545482767","La Pampa"
"United Arab Emirates",2021-12-20,4,"25.194181069236361,55.274156920001879",Dubai
Ireland,2021-12-20,5,"53.3070801,-9.8590667","County Galway"
Philippines,2021-12-21,1,"14.60899397184914,121.3083293286075",Rizal
"Isle of Man",2021-12-21,2,"54.0738499345094,-4.6553784882144589",Castletown
Mongolia,2021-12-21,3,"47.919335670248493,106.91753164403571",Ulaanbaatar
Colombia,2021-12-21,4,"8.0141623520146368,-73.519214284061945",Cesar
Malaysia,2021-12-21,5,"5.4397477148389068,100.302947588087","Pulau Pinang"
Sweden,2021-12-22,1,"57.93431613036838,12.508271018431881","Västra Götalands län"
France,2021-12-22,2,"50.3128965,2.7644868",Hauts-de-France
Canada,2021-12-22,3,"44.865277908849507,-77.687834176361193",Ontario
"United Arab Emirates",2021-12-22,4,"25.3500076,55.4036546",Sharjah
Japan,2021-12-22,5,"41.102122342030057,141.38840310715489",Aomori
Ukraine,2021-12-23,1,"49.9360351,34.6575329","Poltava Oblast"
Italy,2021-12-23,2,"43.55939146579064,12.92736856842987",Marche
Argentina,2021-12-23,3,"-25.083392224596569,-65.002353325912338",Salta
Hungary,2021-12-23,4,"47.491494625176827,19.074509680576291",Budapest
Uruguay,2021-12-23,5,"-31.412681035794819,-55.652519618298207","Departamento de Rivera"
Poland,2021-12-24,1,"53.214427530266732,17.15820249994789","Województwo wielkopolskie"
"South Korea",2021-12-24,2,"33.2534385,126.5625527",Jeju-do
Peru,2021-12-24,3,"-10.956636555380589,-76.315349258899374",Pasco
Switzerland,2021-12-24,4,"46.73251914308134,7.9533445288668823",Bern
Poland,2021-12-24,5,"54.351237997344363,18.649810071338329","Województwo pomorskie"
Argentina,2021-12-25,1,"-26.732057025230731,-54.873641568677883",Misiones
Botswana,2021-12-25,2,"-24.620534916317869,25.899993569691979","Gaborone City"
Israel,2021-12-25,3,"32.0857077,34.8357715","Tel Aviv District"
Kenya,2021-12-25,4,"-0.36886716740420511,35.286172765159769","Kericho County"
Argentina,2021-12-25,5,"-43.356198719504107,-65.5083823041057",Chubut
Greece,2021-12-26,1,"38.426331274773517,24.012869874878909","Central Greece"
Germany,2021-12-26,2,"53.4587321,9.9851599",Hamburg
Cambodia,2021-12-26,3,"11.06002946517593,105.5584436347286","Prey Veng Province"
Mexico,2021-12-26,4,"18.117273558503129,-92.118413066312115",Campeche
Netherlands,2021-12-26,5,"53.112001883640318,6.0818161751266366",Friesland
Portugal,2021-12-27,1,"38.7274631,-9.137944",Lisboa
Denmark,2021-12-27,2,"54.948535464817247,8.7851079894593074","Region of Southern Denmark"
Mexico,2021-12-27,3,"22.90146719835899,-98.551416001779074",Tamaulipas
Australia,2021-12-27,4,"-28.632859374786769,152.01210752318039","New South Wales"
"United Kingdom",2021-12-27,5,"57.302161124387553,-4.3275420407382139","Highland Council"
Finland,2021-12-28,1,"61.764549080687658,22.51212528118965",Satakunta
Germany,2021-12-28,2,"53.080453667920857,8.7805993064889",Bremen
Colombia,2021-12-28,3,"9.64827977566727,-73.646335582619471",Cesar
Philippines,2021-12-28,4,"13.59009782924592,123.2509249596383","Camarines Sur"
Kenya,2021-12-28,5,"0.0507988,37.6458722","Meru County"
Australia,2021-12-30,1,"-41.768032064925791,147.71292204559319",Tasmania
Lithuania,2021-12-30,2,"54.849609842809087,24.925194716063121","Vilniaus apskritis"
Poland,2021-12-30,3,"54.190593336037509,16.151232007016489","Województwo zachodniopomorskie"
Canada,2021-12-30,4,"50.468062002608221,-114.2539849434993",Alberta
"South Africa",2021-12-30,5,"-27.397131726397959,23.659252527789061","Northern Cape"
Türkiye,2021-12-31,1,"38.48473536453421,34.24760221665953",Aksaray
Denmark,2021-12-31,2,"54.916678870020583,9.6913304217221565","Region of Southern Denmark"
Slovakia,2021-12-31,3,"48.638381895839657,19.945879032745491","Banskobystrický kraj"
Latvia,2021-12-31,4,"57.197987857607693,21.440885877218061","Ventspils novads"
Argentina,2021-12-31,5,"-34.493126240401672,-60.149891488196111","Provincia de Buenos Aires"
Canada,2022-01-01,1,"48.01677365073995,-53.256115298790718","Newfoundland and Labrador"
Malaysia,2022-01-01,2,"2.8194007430237931,103.4435566893514",Pahang
"Isle of Man",2022-01-01,3,"54.363457686744859,-4.503184766255008",Jurby
Cambodia,2022-01-01,4,"11.8340737037185,105.3680366173167","Prey Veng Province"
Philippines,2022-01-01,5,"10.9119463378615,121.99323905565829",Antique
Switzerland,2022-01-02,1,"46.373291219913249,10.02977722760065",Grisons
Romania,2022-01-02,2,"47.452374928183382,23.939487463219631","Județul Maramureș"
Italy,2022-01-02,3,"45.1090028932483,7.6410570529405177",Piemonte
Japan,2022-01-02,4,"35.659008171238447,139.74569290697119",Tokyo
Argentina,2022-01-02,5,"-37.946604247924043,-58.690169386779083","Provincia de Buenos Aires"
Estonia,2022-01-03,1,"58.254580586768427,22.55489834255005","Saare maakond"
Slovakia,2022-01-03,2,"48.1463363,17.1070555","Bratislavský kraj"
Brazil,2022-01-03,3,"-23.574992969812239,-45.338776702234277","São Paulo"
Australia,2022-01-03,4,"-31.956697564043591,115.8466640470149","Western Australia"
Japan,2022-01-03,5,"34.0207951,133.5717093",Ehime
Colombia,2022-01-04,1,"8.3128752952765943,-73.634715316642811",Cesar
Portugal,2022-01-04,2,"40.001376865127277,-8.7986513909014157",Leiria
Bangladesh,2022-01-04,3,"22.327517051758559,91.810911760743139","Chittagong Division"
Mongolia,2022-01-04,4,"47.886204640861223,106.9398777321519",Ulaanbaatar
Australia,2022-01-04,5,"-20.2682265,148.7172779",Queensland
"United States",2022-01-05,1,"37.817754214330023,-122.47839455340539",California
Kenya,2022-01-05,2,"-1.1663059793648991,34.444980658558222","Migori County"
"Isle of Man",2022-01-05,3,"54.33167201432876,-4.39344880946545",Ramsey
"United States",2022-01-05,4,"47.5942171,-115.3482969",Montana
Kenya,2022-01-05,5,"-3.2203771666481109,40.119615934600262","Kilifi County"
Israel,2022-01-06,1,"29.55151396740694,34.953481533476072","South District"
Uruguay,2022-01-06,2,"-30.8969743929168,-55.55760134586982","Departamento de Rivera"
"United Kingdom",2022-01-06,3,"53.7941914,-1.5437015","West Yorkshire"
Austria,2022-01-06,4,"47.221114658832938,14.77026853514576",Steiermark
Ukraine,2022-01-06,5,"48.679750481902879,28.28695180219221","Vinnyts'ka oblast"
Bolivia,2022-01-07,1,"-17.19706107547081,-65.898528258815162","Departamento de Cochabamba"
Bulgaria,2022-01-07,2,"42.0165061855219,23.094861898383542",Blagoevgrad
"South Korea",2022-01-07,3,"37.527025306768991,127.0128466578074",Seoul
Denmark,2022-01-07,4,"56.6081781282968,8.5297645886656959","Central Denmark Region"
Ukraine,2022-01-07,5,"50.099437117505232,36.279718056599762","Kharkivs'ka oblast"
Portugal,2022-01-08,1,"41.1819221347841,-6.9860207358270188",Bragança
Netherlands,2022-01-08,2,"51.454519423527017,6.15601411867341",Limburg
Ecuador,2022-01-08,3,"-3.4785467852761092,-80.225440466595245","El Oro"
Thailand,2022-01-08,4,"18.126657471369679,103.521293292311","Bueng Kan"
Croatia,2022-01-08,5,"45.332090702382708,14.455347234126981","Primorsko-goranska županija"
"United Kingdom",2022-01-09,1,"50.4111934,-4.1297652",Plymouth
Belgium,2022-01-09,2,"51.012821048447321,2.9257070983633739",Vlaanderen
Canada,2022-01-09,3,"45.258270503308,-73.612701561955149",Québec
Mongolia,2022-01-09,4,"48.850214507175572,106.4587344739584",Selenge
Taiwan,2022-01-09,5,"25.2099635,121.6432844","New Taipei City"
Australia,2022-01-10,1,"-35.5019984,148.1517722","New South Wales"
Norway,2022-01-10,2,"69.519180188057135,18.53564248482768",Troms
Kenya,2022-01-10,3,"-0.17238583463817389,37.022403468975732","Nyeri County"
Denmark,2022-01-10,4,"55.513188960914142,9.4427563093797158","Region of Southern Denmark"
Mexico,2022-01-10,5,"24.3371622541556,-101.3967443215931",Zacatecas
Ukraine,2022-01-11,1,"49.441795622751243,24.527709673032842","Ivano-Frankivs'ka oblast"
Bangladesh,2022-01-11,2,"25.1666219,92.0954598","Sylhet Division"
Slovenia,2022-01-11,3,"45.596392,14.0873517",Sežana
Peru,2022-01-11,4,"-9.8903070933341191,-76.427677609375081",Huánuco
Slovenia,2022-01-11,5,"46.308471866917593,15.392714196244411","Slovenske Konjice"
"Isle of Man",2022-01-12,1,"54.0738499345094,-4.6553784882144589",Castletown
Italy,2022-01-12,2,"45.808784424791483,13.1629393383294","Friuli-Venezia Giulia"
Senegal,2022-01-12,3,"14.6291381,-16.2258028","Région de Diourbel"
Türkiye,2022-01-12,4,"40.381966108706607,40.405719854640658",Bayburt
Ecuador,2022-01-12,5,"0.0035219310579880391,-78.540903868226508",Pichincha
Kenya,2022-01-13,1,"-0.2041481,35.2932638","Kisumu County"
Türkiye,2022-01-13,2,"37.3815464465235,36.085641431707472",Osmaniye
Senegal,2022-01-13,3,"13.3246246,-13.3059091","Tambacounda Region"
Mexico,2022-01-13,4,"24.982107231428969,-103.73446737929341",Durango
Egypt,2022-01-13,5,"29.977729315900572,31.131662591096191","Giza Governorate"
